Code_Material,Code_Period,Code_Zone,U_Wall_1,U_Roof_1,U_Floor_1,U_Window_1,n_samples
lad,RT2,D,0.718,0.378,2.35,3.28,166
lad,RT2,E,0.61,0.227,3.95,2.85,21
lad,RT2,F,0.995,0.2795,3.95,2.85,71
lad,RT2,G,0.7045,0.246,0.38,5.8,0
lad,RT2,H,0.59,0.33,0.29,4.54,0
lad,RT2,I,0.5829,0.2489,0.62,4.54,0
lad,post2021,A,2.46,0.77,3.2,5.8,0
lad,post2021,B,0.79,0.51,0.66,5.8,0
lad,post2021,C,1.129,0.481,3.36,4.54,0
lad,post2021,D,0.718,0.378,0.39,3.28,99
lad,post2021,E,0.5800000000000001,0.282,1.4,3.145,14
lad,post2021,F,0.65,0.27,0.482,2.85,10
lad,post2021,G,0.47,0.29,0.38,3.28,0
lad,post2021,H,0.99,0.30000000000000004,0.29,3.28,0
lad,post2021,I,0.425,0.25,0.66,5.8,0
lad,preRT,A,2.8775,2.04,3.41,5.8,0
lad,preRT,B,1.129,0.5,3.17,5.8,30
lad,preRT,C,1.525,0.514,3.36,5.8,0
lad,preRT,D,0.718,0.378,1.03,3.28,442
lad,preRT,E,0.718,0.378,3.95,3.28,172
lad,preRT,F,0.58,0.279,0.569,2.85,129
lad,preRT,G,0.37,0.336,0.55,4.135,0
lad,preRT,H,0.59,0.33,0.29,4.54,0
lad,preRT,I,0.569437287661901,0.2489,0.66,5.8,0
mad,CEV,A,1.68,1.18,1.2,5.8,0
mad,CEV,B,1.41,0.481,1.29,5.8,0
mad,CEV,C,1.52,0.84,3.36,5.8,0
mad,CEV,D,0.81,0.27,0.27,3.01,39
mad,CEV,E,0.765,0.386,0.27,5.8,13
mad,CEV,F,0.6675,0.35,0.45,5.8,20
mad,CEV,G,0.428,0.267,0.55,3.28,7
mad,CEV,H,0.43999999999999995,0.24,0.28,3.28,3
mad,CEV,I,0.5563064390105581,0.24471771083914,0.68,5.8,0
mad,RT1,A,1.41,3.83,3.41,5.8,0
mad,RT1,B,1.0550000000000002,0.481,1.108,5.8,0
mad,RT1,C,1.015,0.71,0.86,5.8,0
mad,RT1,D,0.7,0.46,2.64,4.54,50
mad,RT1,E,0.81,0.386,0.45,5.8,4
mad,RT1,F,0.76,0.3845,0.45,5.8,16
mad,RT1,G,0.812435581133096,0.29,0.38,3.28,147
mad,RT1,H,0.59,0.33,0.29,4.54,2
mad,RT1,I,0.53,0.38,0.66,4.404999999999999,0
mad,RT2,A,1.08,0.69,1.4,5.8,0
mad,RT2,B,1.0550000000000002,0.375,0.62,5.8,0
mad,RT2,C,1.29,0.588,0.57,5.8,2
mad,RT2,D,0.984,0.58,0.88,3.01,186
mad,RT2,E,0.765,0.386,0.508,5.8,103
mad,RT2,F,0.765,0.386,0.45,5.8,23
mad,RT2,G,0.7045,0.246,0.38,5.8,2
mad,RT2,H,0.29,0.24,0.28,2.64,6
mad,RT2,I,0.5829,0.2489,0.62,4.54,0
mad,post2021,A,2.46,0.77,3.2,5.8,0
mad,post2021,B,0.79,0.51,0.66,5.8,0
mad,post2021,C,1.1949999999999998,0.481,3.36,5.8,1
mad,post2021,D,0.96,0.36,0.62,3.01,22
mad,post2021,E,0.775,0.386,1.4,5.8,0
mad,post2021,F,0.67,0.35,0.482,5.8,1
mad,post2021,G,0.47,0.29,0.38,3.28,137
mad,post2021,H,0.99,0.30000000000000004,0.29,3.28,0
mad,post2021,I,0.425,0.25,0.66,5.8,0
mad,preRT,A,0.43,0.3,0.284,5.8,15
mad,preRT,B,0.77,0.43,1.29,5.8,0
mad,preRT,C,1.28,0.48,3.36,3.28,0
mad,preRT,D,0.515,0.4,2.84,3.28,307
mad,preRT,E,0.765,0.386,0.4185,4.69,10
mad,preRT,F,0.7030000000000001,0.386,0.45,5.8,166
mad,preRT,G,0.47,0.29,0.719218073333293,3.28,339
mad,preRT,H,0.29,0.24,0.28,2.64,11
mad,preRT,I,0.5825,0.247,0.66,4.54,0
met,CEV,A,0.75,1.18,1.2,5.8,0
met,CEV,B,0.75,0.481,1.29,5.8,0
met,CEV,C,0.75,0.84,3.36,5.8,0
met,CEV,D,0.75,0.378,0.66,3.28,0
met,CEV,E,0.75,0.378,3.55,3.28,0
met,CEV,F,0.75,0.35,0.45,3.28,0
met,CEV,G,0.75,0.267,0.55,3.28,0
met,CEV,H,0.75,0.24,0.28,3.28,0
met,CEV,I,0.75,0.24471771083914,0.68,5.8,0
met,RT1,A,0.75,3.83,3.41,5.8,0
met,RT1,B,0.75,0.481,1.108,5.8,0
met,RT1,C,0.75,0.71,0.86,5.8,0
met,RT1,D,0.75,0.378,0.66,3.28,0
met,RT1,E,0.75,0.386,0.45,3.01,0
met,RT1,F,0.75,0.38,0.5,5.8,0
met,RT1,G,0.75,0.29,0.38,3.28,0
met,RT1,H,0.75,0.33,0.29,4.54,0
met,RT1,I,0.75,0.38,0.66,4.404999999999999,0
met,RT2,A,0.75,0.69,1.4,5.8,0
met,RT2,B,0.75,0.375,0.62,5.8,0
met,RT2,C,0.75,0.588,0.57,5.8,0
met,RT2,D,0.75,0.378,0.67,3.28,0
met,RT2,E,0.75,0.378,0.508,3.28,0
met,RT2,F,0.75,0.38,0.47,3.28,0
met,RT2,G,0.75,0.246,0.38,5.8,0
met,RT2,H,0.75,0.33,0.29,4.54,0
met,RT2,I,0.75,0.2489,0.62,4.54,0
met,post2021,A,0.75,0.77,3.2,5.8,0
met,post2021,B,0.75,0.51,0.66,5.8,0
met,post2021,C,0.75,0.481,3.36,5.8,0
met,post2021,D,0.75,0.378,0.66,3.28,0
met,post2021,E,0.75,0.386,1.4,4.54,0
met,post2021,F,0.75,0.35,0.482,3.28,0
met,post2021,G,0.75,0.29,0.38,3.28,0
met,post2021,H,0.75,0.30000000000000004,0.29,3.28,0
met,post2021,I,0.75,0.25,0.66,5.8,0
met,preRT,A,0.75,0.9,3.41,5.8,0
met,preRT,B,0.75,0.81,1.29,5.8,0
met,preRT,C,0.75,0.48,3.36,3.28,0
met,preRT,D,0.75,0.378,0.66,3.145,0
met,preRT,E,0.75,0.378,3.95,3.28,0
met,preRT,F,0.75,0.38,0.45,5.8,0
met,preRT,G,0.75,0.29,0.55,3.28,0
met,preRT,H,0.75,0.33,0.29,4.54,0
met,preRT,I,0.75,0.2489,0.66,5.8,0
prefab,CEV,A,1.68,1.18,1.2,5.8,0
prefab,CEV,B,1.41,0.481,1.29,5.8,0
prefab,CEV,C,1.52,0.84,3.36,5.8,0
prefab,CEV,D,0.83,0.36,0.66,4.54,0
prefab,CEV,E,0.6,0.35,3.55,4.54,0
prefab,CEV,F,0.375,0.26,0.45,2.85,0
prefab,CEV,G,0.369,0.267,0.55,3.28,0
prefab,CEV,H,0.43999999999999995,0.24,0.28,3.28,3
prefab,CEV,I,0.5563064390105581,0.24471771083914,0.68,5.8,0
prefab,RT1,A,1.41,3.83,3.41,5.8,0
prefab,RT1,B,1.0550000000000002,0.481,1.108,5.8,0
prefab,RT1,C,1.015,0.71,0.86,5.8,0
prefab,RT1,D,0.965,0.378,0.66,3.28,0
prefab,RT1,E,0.539,0.386,0.45,3.01,0
prefab,RT1,F,0.375,0.26,0.5,2.93,0
prefab,RT1,G,0.47,0.29,0.38,3.28,0
prefab,RT1,H,0.59,0.33,0.29,4.54,5
prefab,RT1,I,0.53,0.38,0.66,4.404999999999999,0
prefab,RT2,A,1.08,0.69,1.4,5.8,0
prefab,RT2,B,1.0550000000000002,0.375,0.62,5.8,0
prefab,RT2,C,1.29,0.588,0.57,5.8,0
prefab,RT2,D,0.58,0.45,0.67,5.8,0
prefab,RT2,E,0.61,0.378,0.508,3.28,0
prefab,RT2,F,0.61,0.23,0.47,3.28,0
prefab,RT2,G,0.7045,0.246,0.38,5.8,0
prefab,RT2,H,0.59,0.33,0.29,4.54,129
prefab,RT2,I,0.5829,0.2489,0.62,4.54,0
prefab,post2021,A,2.46,0.77,3.2,5.8,0
prefab,post2021,B,0.79,0.51,0.66,5.8,0
prefab,post2021,C,0.317,0.43,3.36,3.01,0
prefab,post2021,D,0.945,0.378,0.66,3.28,0
prefab,post2021,E,0.554,0.386,1.4,4.54,0
prefab,post2021,F,0.377,0.27,0.482,3.065,0
prefab,post2021,G,0.61,0.3,0.38,4.54,0
prefab,post2021,H,0.99,0.30000000000000004,0.29,3.28,4
prefab,post2021,I,0.425,0.25,0.66,5.8,0
prefab,preRT,A,0.6,0.69,3.41,5.8,0
prefab,preRT,B,2.16,0.81,1.29,5.8,0
prefab,preRT,C,1.28,0.48,3.36,3.28,0
prefab,preRT,D,0.63,0.34,2.84,5.8,87
prefab,preRT,E,0.6,0.35,3.95,4.54,0
prefab,preRT,F,0.375,0.26,0.45,2.93,0
prefab,preRT,G,0.4,0.29,0.55,3.28,1
prefab,preRT,H,0.59,0.33,0.29,4.54,117
prefab,preRT,I,0.5829,0.2489,0.66,4.54,0
