Code_BuildingVariant,Code_Country,Code_Building,Code_BuildingSizeClass,Code_Period,Code_Material,Code_Zone,Code_RoofType,Year1_Building,Year2_Building,n_Apartment,n_Storey,A_C_Ref,h_room,A_Wall_1,A_Wall_2,A_Wall_3,A_Roof_1,A_Roof_2,A_Floor_1,A_Floor_2,A_Door_1,A_Window_North,A_Window_East,A_Window_South,A_Window_West,A_Window_Horizontal,A_Window_1,A_Window_2,F_sh_vert,F_sh_hor,F_f,F_w,U_Actual_Wall_1,U_Actual_Wall_2,U_Actual_Wall_3,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,U_Actual_Roof_1,U_Actual_Roof_2,b_Transmission_Roof_1,b_Transmission_Roof_2,U_Actual_Floor_1,U_Actual_Floor_2,b_Transmission_Floor_1,b_Transmission_Floor_2,U_Actual_Door_1,U_Window_1,U_Window_2,g_gl_n_Window_1,n_air_infiltration,n_air_use,q_h_nd
CL.SFH.preRT.hor.F,CL,CL.SFH.preRT.hor.F,SFH,preRT,hor,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.54,0,0,1.0,0,0,0.28,0,1.0,0,0.5,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.G,CL,CL.SFH.preRT.hor.G,SFH,preRT,hor,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.384,0,0,1.0,0,0,0.25,0,1.0,0,0.37,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.H,CL,CL.SFH.preRT.hor.H,SFH,preRT,hor,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.59,0,0,1.0,0,0,0.33,0,1.0,0,0.29,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.I,CL,CL.SFH.preRT.hor.I,SFH,preRT,hor,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.569437287661901,0,0,1.0,0,0,0.25,0,1.0,0,0.66,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.A,CL,CL.SFH.preRT.lad.A,SFH,preRT,lad,A,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,2.8775,0,0,1.0,0,0,2.04,0,1.0,0,3.41,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.B,CL,CL.SFH.preRT.lad.B,SFH,preRT,lad,B,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.129,0,0,1.0,0,0,0.5,0,1.0,0,3.17,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.C,CL,CL.SFH.preRT.lad.C,SFH,preRT,lad,C,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.525,0,0,1.0,0,0,0.514,0,1.0,0,3.36,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.D,CL,CL.SFH.preRT.lad.D,SFH,preRT,lad,D,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.718,0,0,1.0,0,0,0.378,0,1.0,0,1.03,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.E,CL,CL.SFH.preRT.lad.E,SFH,preRT,lad,E,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.718,0,0,1.0,0,0,0.378,0,1.0,0,3.95,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.F,CL,CL.SFH.preRT.lad.F,SFH,preRT,lad,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.58,0,0,1.0,0,0,0.279,0,1.0,0,0.569,0,0.45,0,2.5,2.85,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.G,CL,CL.SFH.preRT.lad.G,SFH,preRT,lad,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.37,0,0,1.0,0,0,0.336,0,1.0,0,0.55,0,0.45,0,2.5,4.135,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.H,CL,CL.SFH.preRT.lad.H,SFH,preRT,lad,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.59,0,0,1.0,0,0,0.33,0,1.0,0,0.29,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.lad.I,CL,CL.SFH.preRT.lad.I,SFH,preRT,lad,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.569437287661901,0,0,1.0,0,0,0.2489,0,1.0,0,0.66,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.A,CL,CL.SFH.preRT.mad.A,SFH,preRT,mad,A,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.43,0,0,1.0,0,0,0.3,0,1.0,0,0.284,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.B,CL,CL.SFH.preRT.mad.B,SFH,preRT,mad,B,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.77,0,0,1.0,0,0,0.43,0,1.0,0,1.29,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.C,CL,CL.SFH.preRT.mad.C,SFH,preRT,mad,C,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.28,0,0,1.0,0,0,0.48,0,1.0,0,3.36,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.D,CL,CL.SFH.preRT.mad.D,SFH,preRT,mad,D,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.515,0,0,1.0,0,0,0.4,0,1.0,0,2.84,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.E,CL,CL.SFH.preRT.mad.E,SFH,preRT,mad,E,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.765,0,0,1.0,0,0,0.386,0,1.0,0,0.4185,0,0.45,0,2.5,4.69,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.F,CL,CL.SFH.preRT.mad.F,SFH,preRT,mad,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.7030000000000001,0,0,1.0,0,0,0.386,0,1.0,0,0.45,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.G,CL,CL.SFH.preRT.mad.G,SFH,preRT,mad,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.47,0,0,1.0,0,0,0.29,0,1.0,0,0.719218073333293,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.H,CL,CL.SFH.preRT.mad.H,SFH,preRT,mad,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.29,0,0,1.0,0,0,0.24,0,1.0,0,0.28,0,0.45,0,2.5,2.64,0,0.87,0.8,0.3,120
CL.SFH.preRT.mad.I,CL,CL.SFH.preRT.mad.I,SFH,preRT,mad,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.5825,0,0,1.0,0,0,0.247,0,1.0,0,0.66,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.A,CL,CL.SFH.preRT.met.A,SFH,preRT,met,A,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.9,0,1.0,0,3.41,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.B,CL,CL.SFH.preRT.met.B,SFH,preRT,met,B,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.81,0,1.0,0,1.29,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
